プライマリーキー,JIS漢字水準,JLPT,人名用漢字,国字,学年,常用漢字,漢検配当級,画数,部首別
咖,JIS第３水準,,,,,,,,口 くち・くちへん
咜,JIS第３水準,,,,,,,,口 くち・くちへん
咡,JIS第３水準,,,,,,,,口 くち・くちへん
咩,JIS第３水準,,,,,,,,口 くち・くちへん
哆,JIS第３水準,,,,,,,,口 くち・くちへん
哿,JIS第３水準,,,,,,,,口 くち・くちへん
唎,JIS第３水準,,,,,,,,口 くち・くちへん
唫,JIS第３水準,,,,,,,,口 くち・くちへん
唵,JIS第３水準,,,,,,,,口 くち・くちへん
啐,JIS第３水準,,,,,,準１級,,口 くち・くちへん
啞,JIS第３水準,,,,,,準１級,,口 くち・くちへん
喁,JIS第３水準,,,,,,,,口 くち・くちへん
喆,JIS第３水準,,,,,,,12,口 くち・くちへん
喎,JIS第３水準,,,,,,,,口 くち・くちへん
喭,JIS第３水準,,,,,,,,口 くち・くちへん
嗎,JIS第３水準,,,,,,,,口 くち・くちへん
嘈,JIS第３水準,,,,,,,,口 くち・くちへん
嘎,JIS第３水準,,,,,,,,口 くち・くちへん
嘻,JIS第３水準,,,,,,,,口 くち・くちへん
噉,JIS第３水準,,,,,,,,口 くち・くちへん
噓,JIS第３水準,,,,,,準１級,,口 くち・くちへん
噦,JIS第３水準,,,,,,１級,,口 くち・くちへん
噯,JIS第３水準,,,,,,１級,,口 くち・くちへん
噱,JIS第３水準,,,,,,,,口 くち・くちへん
噲,JIS第３水準,,,,,,,,口 くち・くちへん
噶,JIS第３水準,,,,,,,,口 くち・くちへん
嚙,JIS第３水準,,,,,,準１級,,口 くち・くちへん
嚞,JIS第３水準,,,,,,,18,口 くち・くちへん
嚩,JIS第３水準,,,,,,,,口 くち・くちへん
嚬,JIS第３水準,,,,,,１級,,口 くち・くちへん
嚳,JIS第３水準,,,,,,,,口 くち・くちへん
囉,JIS第３水準,,,,,,,,口 くち・くちへん
囊,JIS第３水準,,,,,,準１級,,口 くち・くちへん
圊,JIS第３水準,,,,,,,,囗 くにがまえ
圡,JIS第３水準,,,,,,,4,土 つち・つちへん・どへん
圯,JIS第３水準,,,,,,,,土 つち・つちへん・どへん
圳,JIS第３水準,,,,,,,,土 つち・つちへん・どへん
圴,JIS第３水準,,,,,,,,土 つち・つちへん・どへん
坰,JIS第３水準,,,,,,,,土 つち・つちへん・どへん
坷,JIS第３水準,,,,,,,,土 つち・つちへん・どへん
坼,JIS第３水準,,,,,,,,土 つち・つちへん・どへん
垜,JIS第３水準,,,,,,,,土 つち・つちへん・どへん
垸,JIS第３水準,,,,,,,,土 つち・つちへん・どへん
埇,JIS第３水準,,,,,,,,土 つち・つちへん・どへん
埈,JIS第３水準,,,,,,,,土 つち・つちへん・どへん
埏,JIS第３水準,,,,,,,,土 つち・つちへん・どへん
埤,JIS第３水準,,,,,,,,土 つち・つちへん・どへん
埭,JIS第３水準,,,,,,,,土 つち・つちへん・どへん
埵,JIS第３水準,,,,,,,,土 つち・つちへん・どへん
埶,JIS第３水準,,,,,,,11,土 つち・つちへん・どへん
埿,JIS第３水準,,,,,,,11,土 つち・つちへん・どへん
堉,JIS第３水準,,,,,,,,土 つち・つちへん・どへん
塡,JIS第３水準,,,,中学校一～三年生,然り,２級,13,土 つち・つちへん・どへん
塤,JIS第３水準,,,,,,,,土 つち・つちへん・どへん
塼,JIS第３水準,,,,,,,,土 つち・つちへん・どへん
墉,JIS第３水準,,,,,,,,土 つち・つちへん・どへん
增,JIS第３水準,,然り,,,,,15,土 つち・つちへん・どへん
墩,JIS第３水準,,,,,,,,土 つち・つちへん・どへん
壎,JIS第３水準,,,,,,１級,,土 つち・つちへん・どへん
壒,JIS第３水準,,,,,,,,土 つち・つちへん・どへん
壔,JIS第３水準,,,,,,,,土 つち・つちへん・どへん
壚,JIS第３水準,,,,,,,,土 つち・つちへん・どへん
壠,JIS第３水準,,,,,,,,土 つち・つちへん・どへん
壩,JIS第３水準,,,,,,,,土 つち・つちへん・どへん
夌,JIS第３水準,,,,,,,,夂 夊 ふゆがしら・ち・すいにょう・なつあし
奝,JIS第３水準,,,,,,,,大 だい
奭,JIS第３水準,,,,,,,,大 だい
妋,JIS第３水準,,,,,,,,女 おんな・おんなへん
妒,JIS第３水準,,,,,,,7,女 おんな・おんなへん
妤,JIS第３水準,,,,,,,,女 おんな・おんなへん
姃,JIS第３水準,,,,,,,,女 おんな・おんなへん
姒,JIS第３水準,,,,,,,,女 おんな・おんなへん
姝,JIS第３水準,,,,,,,,女 おんな・おんなへん
姸,JIS第３水準,,,,,,１級,,女 おんな・おんなへん
娓,JIS第３水準,,,,,,,,女 おんな・おんなへん
娣,JIS第３水準,,,,,,,,女 おんな・おんなへん
婧,JIS第３水準,,,,,,,,女 おんな・おんなへん
婭,JIS第３水準,,,,,,,,女 おんな・おんなへん
婷,JIS第３水準,,,,,,,,女 おんな・おんなへん
婾,JIS第３水準,,,,,,,,女 おんな・おんなへん
媄,JIS第３水準,,,,,,,,女 おんな・おんなへん
媞,JIS第３水準,,,,,,,,女 おんな・おんなへん
媧,JIS第３水準,,,,,,,,女 おんな・おんなへん
嫄,JIS第３水準,,,,,,,,女 おんな・おんなへん
嬙,JIS第３水準,,,,,,,,女 おんな・おんなへん
嬥,JIS第３水準,,,,,,,,女 おんな・おんなへん
孁,JIS第３水準,,,,,,,,女 おんな・おんなへん
孖,JIS第３水準,,,,,,,,子 こ・こへん・こども・こどもへん
孽,JIS第３水準,,,,,,１級,,子 こ・こへん・こども・こどもへん
宓,JIS第３水準,,,,,,,,宀 うかんむり
寘,JIS第３水準,,,,,,,,宀 うかんむり
寬,JIS第３水準,,然り,,,,,15,宀 うかんむり
尒,JIS第３水準,,,,,,,,人 亻 ひと・にんべん・ひとがしら・ひとやね
尞,JIS第３水準,,,,,,,,小 しょう・しょうがしら・なおがしら
尣,JIS第３水準,,,,,,,,尢 尣 だいのまげあし・まげあし・おうにょう
尫,JIS第３水準,,,,,,,,尢 尣 だいのまげあし・まげあし・おうにょう
屛,JIS第３水準,,,,,,１級,,尸 しかばね・かばね・しかばねだれ・しかばねかんむり・かばねだれ
屢,JIS第３水準,,,,,,準１級,,尸 しかばね・かばね・しかばねだれ・しかばねかんむり・かばねだれ
屺,JIS第３水準,,,,,,,,山 やま・やまへん・やまかんむり
岏,JIS第３水準,,,,,,,,山 やま・やまへん・やまかんむり
岟,JIS第３水準,,,,,,,,山 やま・やまへん・やまかんむり
岣,JIS第３水準,,,,,,,,山 やま・やまへん・やまかんむり
岪,JIS第３水準,,,,,,,,山 やま・やまへん・やまかんむり
岺,JIS第３水準,,,,,,,,山 やま・やまへん・やまかんむり
峋,JIS第３水準,,,,,,,,山 やま・やまへん・やまかんむり
峐,JIS第３水準,,,,,,,,山 やま・やまへん・やまかんむり
峒,JIS第３水準,,,,,,,,山 やま・やまへん・やまかんむり
峴,JIS第３水準,,,,,,,,山 やま・やまへん・やまかんむり
崍,JIS第３水準,,,,,,,,山 やま・やまへん・やまかんむり
崧,JIS第３水準,,,,,,,,山 やま・やまへん・やまかんむり
嵆,JIS第３水準,,,,,,,,山 やま・やまへん・やまかんむり
嵇,JIS第３水準,,,,,,,,山 やま・やまへん・やまかんむり
嵊,JIS第３水準,,,,,,,,山 やま・やまへん・やまかんむり
嵓,JIS第３水準,,,,,,,,山 やま・やまへん・やまかんむり
嵭,JIS第３水準,,,,,,,,山 やま・やまへん・やまかんむり
嶁,JIS第３水準,,,,,,,,山 やま・やまへん・やまかんむり
嶠,JIS第３水準,,,,,,,,山 やま・やまへん・やまかんむり
嶤,JIS第３水準,,,,,,,,山 やま・やまへん・やまかんむり
嶧,JIS第３水準,,,,,,,,山 やま・やまへん・やまかんむり
嶸,JIS第３水準,,,,,,,,山 やま・やまへん・やまかんむり
巋,JIS第３水準,,,,,,,,山 やま・やまへん・やまかんむり
巢,JIS第３水準,,然り,,,,,11,巛 川 かわ・まげかわ・まがりがわ
帔,JIS第３水準,,,,,,,,巾 はば・はばへん・きんべん
帘,JIS第３水準,,,,,,,,巾 はば・はばへん・きんべん
幘,JIS第３水準,,,,,,,,巾 はば・はばへん・きんべん
幞,JIS第３水準,,,,,,,,巾 はば・はばへん・きんべん
幷,JIS第３水準,,,,,,１級,,干 かん・いちじゅう・ほす
庾,JIS第３水準,,,,,,,,广 まだれ
廋,JIS第３水準,,,,,,,,广 まだれ
廹,JIS第３水準,,,,,,,8,廴 えんにょう・いんにょう
开,JIS第３水準,,,,,,,4,廾 にじゅうあし・こまぬき
异,JIS第３水準,,,,,,,,廾 にじゅうあし・こまぬき
弇,JIS第３水準,,,,,,,,廾 にじゅうあし・こまぬき
弝,JIS第３水準,,,,,,,,弓 ゆみ・ゆみへん
弣,JIS第３水準,,,,,,,,弓 ゆみ・ゆみへん
弴,JIS第３水準,,,,,,,,弓 ゆみ・ゆみへん
弶,JIS第３水準,,,,,,,,弓 ゆみ・ゆみへん
弽,JIS第３水準,,,,,,,,弓 ゆみ・ゆみへん
彀,JIS第３水準,,,,,,,,弓 ゆみ・ゆみへん
彅,JIS第３水準,,,,,,,,弓 ゆみ・ゆみへん
彔,JIS第３水準,,,,,,,8,彐 彑 けいがしら・いのこがしら
彘,JIS第３水準,,,,,,,,彐 彑 けいがしら・いのこがしら
彤,JIS第３水準,,,,,,,,彡 さんづくり
彧,JIS第３水準,,,,,,,,彡 さんづくり
彽,JIS第３水準,,,,,,,,彳 ぎょうにんべん
徉,JIS第３水準,,,,,,,,彳 ぎょうにんべん
徜,JIS第３水準,,,,,,,,彳 ぎょうにんべん
徧,JIS第３水準,,,,,,,,彳 ぎょうにんべん
徯,JIS第３水準,,,,,,,,彳 ぎょうにんべん
徵,JIS第３水準,,然り,,,,,15,彳 ぎょうにんべん
德,JIS第３水準,,然り,,,,,15,彳 ぎょうにんべん
忉,JIS第３水準,,,,,,,,心 忄 こころ・したごころ・りっしんべん
忞,JIS第３水準,,,,,,,,心 忄 こころ・したごころ・りっしんべん
忡,JIS第３水準,,,,,,,,心 忄 こころ・したごころ・りっしんべん
忩,JIS第３水準,,,,,,,,心 忄 こころ・したごころ・りっしんべん
怍,JIS第３水準,,,,,,,,心 忄 こころ・したごころ・りっしんべん
怔,JIS第３水準,,,,,,,,心 忄 こころ・したごころ・りっしんべん
怘,JIS第３水準,,,,,,,,心 忄 こころ・したごころ・りっしんべん
怳,JIS第３水準,,,,,,,,心 忄 こころ・したごころ・りっしんべん
怵,JIS第３水準,,,,,,,,心 忄 こころ・したごころ・りっしんべん
恇,JIS第３水準,,,,,,,,心 忄 こころ・したごころ・りっしんべん
悝,JIS第３水準,,,,,,,,心 忄 こころ・したごころ・りっしんべん
悞,JIS第３水準,,,,,,,,心 忄 こころ・したごころ・りっしんべん
惋,JIS第３水準,,,,,,,,心 忄 こころ・したごころ・りっしんべん
惔,JIS第３水準,,,,,,,,心 忄 こころ・したごころ・りっしんべん
惕,JIS第３水準,,,,,,,,心 忄 こころ・したごころ・りっしんべん
惝,JIS第３水準,,,,,,,,心 忄 こころ・したごころ・りっしんべん
惸,JIS第３水準,,,,,,,,心 忄 こころ・したごころ・りっしんべん
愜,JIS第３水準,,,,,,,,心 忄 こころ・したごころ・りっしんべん
愫,JIS第３水準,,,,,,,,心 忄 こころ・したごころ・りっしんべん
愰,JIS第３水準,,,,,,,,心 忄 こころ・したごころ・りっしんべん
愷,JIS第３水準,,,,,,,,心 忄 こころ・したごころ・りっしんべん
憍,JIS第３水準,,,,,,,,心 忄 こころ・したごころ・りっしんべん
憹,JIS第３水準,,,,,,,,心 忄 こころ・したごころ・りっしんべん
憼,JIS第３水準,,,,,,,,心 忄 こころ・したごころ・りっしんべん
戢,JIS第３水準,,,,,,,,戈 ほこづくり・ほこがまえ・ほこ・かのほこ
戾,JIS第３水準,,,,,,,8,戸 戶 と・とだれ・とかんむり・とびらのと
扃,JIS第３水準,,,,,,,,戸 戶 と・とだれ・とかんむり・とびらのと
扖,JIS第３水準,,,然り,,,,,手 扌 て・てへん
扚,JIS第３水準,,,,,,,,手 扌 て・てへん
扯,JIS第３水準,,,,,,,,手 扌 て・てへん
抅,JIS第３水準,,,,,,,7,手 扌 て・てへん
拄,JIS第３水準,,,,,,,,手 扌 て・てへん
拖,JIS第３水準,,,,,,,,手 扌 て・てへん
拼,JIS第３水準,,,,,,,,手 扌 て・てへん
挊,JIS第３水準,,,,,,,9,手 扌 て・てへん
挘,JIS第３水準,,,然り,,,１級,,手 扌 て・てへん
挹,JIS第３水準,,,,,,,,手 扌 て・てへん
捃,JIS第３水準,,,,,,,,手 扌 て・てへん
捥,JIS第３水準,,,,,,,,手 扌 て・てへん
捼,JIS第３水準,,,,,,,,手 扌 て・てへん
揥,JIS第３水準,,,,,,,,手 扌 て・てへん
揭,JIS第３水準,,然り,,,,,12,手 扌 て・てへん
揵,JIS第３水準,,,,,,,,手 扌 て・てへん
搐,JIS第３水準,,,,,,,,手 扌 て・てへん
搔,JIS第３水準,,,,,,準１級,,手 扌 て・てへん
搢,JIS第３水準,,,,,,,,手 扌 て・てへん
摑,JIS第３水準,,然り,,,,準１級,14,手 扌 て・てへん
摠,JIS第３水準,,,,,,,,手 扌 て・てへん
摭,JIS第３水準,,,,,,,,手 扌 て・てへん
摹,JIS第３水準,,,,,,,,手 扌 て・てへん
撾,JIS第３水準,,,,,,,,手 扌 て・てへん
撿,JIS第３水準,,,,,,,,手 扌 て・てへん
擄,JIS第３水準,,,,,,,,手 扌 て・てへん
擊,JIS第３水準,,然り,,,,,17,手 扌 て・てへん
擎,JIS第３水準,,,,,,,,手 扌 て・てへん
擐,JIS第３水準,,,,,,,,手 扌 て・てへん
擷,JIS第３水準,,,,,,,,手 扌 て・てへん
擻,JIS第３水準,,,,,,,,手 扌 て・てへん
攢,JIS第３水準,,,,,,１級,,手 扌 て・てへん
攩,JIS第３水準,,,,,,,,手 扌 て・てへん
敧,JIS第３水準,,,,,,,,攴 攵 ぼくにょう・ぼくづくり・とまた・のぶん
斝,JIS第３水準,,,,,,,,斗 とます・と
昀,JIS第３水準,,,,,,,,日 ひ・ひへん・にち・にちへん
昉,JIS第３水準,,,,,,,,日 ひ・ひへん・にち・にちへん
昕,JIS第３水準,,,,,,,,日 ひ・ひへん・にち・にちへん
昞,JIS第３水準,,,,,,,,日 ひ・ひへん・にち・にちへん
昢,JIS第３水準,,,,,,,,日 ひ・ひへん・にち・にちへん
昤,JIS第３水準,,,,,,,,日 ひ・ひへん・にち・にちへん
昫,JIS第３水準,,,,,,,,日 ひ・ひへん・にち・にちへん
昰,JIS第３水準,,,,,,,9,日 ひ・ひへん・にち・にちへん
昱,JIS第３水準,,,,,,,,日 ひ・ひへん・にち・にちへん
昳,JIS第３水準,,,,,,,,日 ひ・ひへん・にち・にちへん
昺,JIS第３水準,,,,,,,,日 ひ・ひへん・にち・にちへん
晈,JIS第３水準,,,,,,,,日 ひ・ひへん・にち・にちへん
晌,JIS第３水準,,,,,,,,日 ひ・ひへん・にち・にちへん
晙,JIS第３水準,,,,,,,,日 ひ・ひへん・にち・にちへん
晚,JIS第３水準,,然り,,,,,11,日 ひ・ひへん・にち・にちへん
晡,JIS第３水準,,,,,,,,日 ひ・ひへん・にち・にちへん
晥,JIS第３水準,,,,,,,,日 ひ・ひへん・にち・にちへん
晳,JIS第３水準,,,,,,１級,,日 ひ・ひへん・にち・にちへん
晷,JIS第３水準,,,,,,,,日 ひ・ひへん・にち・にちへん
晸,JIS第３水準,,,,,,,,日 ひ・ひへん・にち・にちへん
暍,JIS第３水準,,,,,,,,日 ひ・ひへん・にち・にちへん
暠,JIS第３水準,,,,,,,,日 ひ・ひへん・にち・にちへん
暲,JIS第３水準,,,,,,,,日 ひ・ひへん・にち・にちへん
暻,JIS第３水準,,,,,,,,日 ひ・ひへん・にち・にちへん
曆,JIS第３水準,,然り,,,,,16,日 ひ・ひへん・にち・にちへん
曈,JIS第３水準,,,,,,,,日 ひ・ひへん・にち・にちへん
曛,JIS第３水準,,,,,,,,日 ひ・ひへん・にち・にちへん
曨,JIS第３水準,,,,,,,,日 ひ・ひへん・にち・にちへん
曺,JIS第３水準,,,,,,,10,曰 いわく・ひらび
曻,JIS第３水準,,,,,,,11,日 ひ・ひへん・にち・にちへん
朓,JIS第３水準,,,,,,,,月 つき・つきへん
朳,JIS第３水準,,,,,,,,木 き・きへん
杇,JIS第３水準,,,,,,,,木 き・きへん
杈,JIS第３水準,,,,,,,,木 き・きへん
杦,JIS第３水準,,,然り,,,,,木 き・きへん
杻,JIS第３水準,,,,,,,,木 き・きへん
极,JIS第３水準,,,,,,,,木 き・きへん
枓,JIS第３水準,,,,,,,,木 き・きへん
枘,JIS第３水準,,,,,,,,木 き・きへん
枛,JIS第３水準,,,,,,,,木 き・きへん
枻,JIS第３水準,,,,,,,,木 き・きへん
柀,JIS第３水準,,,,,,,,木 き・きへん
柗,JIS第３水準,,,,,,,9,木 き・きへん
柹,JIS第３水準,,,,,,,9,木 き・きへん
柼,JIS第３水準,,,,,,,,木 き・きへん
栁,JIS第３水準,,,,,,,9,木 き・きへん
栝,JIS第３水準,,,,,,,,木 き・きへん
栬,JIS第３水準,,,,,,,,木 き・きへん
栱,JIS第３水準,,,,,,,,木 き・きへん
桒,JIS第３水準,,,,,,,9,木 き・きへん
桛,JIS第３水準,,,然り,,,１級,,木 き・きへん
桲,JIS第３水準,,,,,,,,木 き・きへん
桵,JIS第３水準,,,,,,,,木 き・きへん
梣,JIS第３水準,,,,,,,,木 き・きへん
梥,JIS第３水準,,,,,,,11,木 き・きへん
梲,JIS第３水準,,,,,,１級,,木 き・きへん
棈,JIS第３水準,,,,,,,,木 き・きへん
棐,JIS第３水準,,,,,,,,木 き・きへん
棨,JIS第３水準,,,,,,,,木 き・きへん
棭,JIS第３水準,,,,,,,,木 き・きへん
棰,JIS第３水準,,,,,,,,木 き・きへん
棱,JIS第３水準,,,,,,,,木 き・きへん
棼,JIS第３水準,,,,,,,,木 き・きへん
椊,JIS第３水準,,,,,,,,木 き・きへん
椵,JIS第３水準,,,,,,,,木 き・きへん
楂,JIS第３水準,,,,,,,,木 き・きへん
楉,JIS第３水準,,,,,,,,木 き・きへん
楗,JIS第３水準,,,,,,,,木 き・きへん
楣,JIS第３水準,,,,,,,,木 き・きへん
楤,JIS第３水準,,,,,,,,木 き・きへん
楨,JIS第３水準,,,,,,,,木 き・きへん
榀,JIS第３水準,,,然り,,,１級,,木 き・きへん
榥,JIS第３水準,,,,,,,,木 き・きへん
榭,JIS第３水準,,,,,,,,木 き・きへん
槏,JIS第３水準,,,,,,,,木 き・きへん
槢,JIS第３水準,,,,,,,,木 き・きへん
槩,JIS第３水準,,,,,,,16,木 き・きへん
槪,JIS第３水準,,,,,,,16,木 き・きへん
槵,JIS第３水準,,,,,,,,木 き・きへん
槶,JIS第３水準,,,,,,,,木 き・きへん
樏,JIS第３水準,,,,,,,,木 き・きへん
樕,JIS第３水準,,,,,,,,木 き・きへん
樻,JIS第３水準,,,,,,,,木 き・きへん
樾,JIS第３水準,,,,,,,,木 き・きへん
橅,JIS第３水準,,,,,,,,木 き・きへん
橐,JIS第３水準,,,,,,,,木 き・きへん
橖,JIS第３水準,,,,,,,,木 き・きへん
橛,JIS第３水準,,,,,,,,木 き・きへん
橫,JIS第３水準,,然り,,,,,16,木 き・きへん
橳,JIS第３水準,,,然り,,,,,木 き・きへん
檉,JIS第３水準,,,,,,,,木 き・きへん
檔,JIS第３水準,,,,,,１級,,木 き・きへん
檝,JIS第３水準,,,,,,,,木 き・きへん
檞,JIS第３水準,,,,,,,,木 き・きへん
